DISCLAIMER					
This information (whether in electronic or hard copy format) (the "Information") has been prepared by Renewable Energy Systems Limited ("RES").					
RES shall not be deemed to make any representations regarding the accuracy, completeness, reliability or current status of the Information, nor does RES assume any liability with respect to any matter referred to or contained within the Information.					
Neither the recipient nor any party to whom the recipient provides the Information or any matter derived from it shall have any right or claim against RES or any of its affiliated companies in respect thereof.					
Any person relying on the Information does so at their own risk. The recipient shall treat all Information as confidential.					

"DateTime","WS","MERRA.U","MERRA.V","MERRA.RH","MERRA.P","MERRA.T","MERRA.WS","MERRA.WD"
2011-01-02 16:00:00,6.86,3.09684514999,-5.04431200027,0.00339805777185,102916.84375,276.168731689,5.91908214499,328.453
2011-01-02 17:00:00,7.1,2.76599693298,-5.28475952148,0.00337476143613,102924.15625,276.122741699,5.96484888603,332.372
2011-01-02 18:00:00,6.65,2.39589428902,-5.33229589462,0.00337822339498,102930.179688,276.147735596,5.84582662692,335.804
2011-01-02 19:00:00,5.92,2.16072821617,-5.09925460815,0.00339314970188,102947.734375,276.233001709,5.53815348135,337.035
2011-01-02 20:00:00,6.16,1.99132156372,-4.66123962402,0.00333180883899,102951.03125,276.392150879,5.06877859082,336.867
2011-01-02 21:00:00,5.06,2.11467885971,-3.89307022095,0.00319714238867,102907.84375,276.581420898,4.43033434686,331.489
2011-01-02 22:00:00,5.1,2.61928963661,-2.92477107048,0.00314170913771,102831.265625,276.679138184,3.92618950322,318.153
2011-01-02 23:00:00,5.13,3.29801106453,-1.92606341839,0.00310976617038,102742.8125,276.671569824,3.81924040529,300.285
2011-01-03 00:00:00,4.64,4.04546928406,-1.14987158775,0.00307860248722,102657.15625,276.549255371,4.20571354191,285.867
2011-01-03 01:00:00,4.59,4.70491838455,-0.680141508579,0.00306710344739,102582.9375,276.333892822,4.75382472089,278.225
2011-01-03 02:00:00,4.88,5.22164106369,-0.247685432434,0.00308265746571,102531.171875,276.030181885,5.22751216847,272.715
2011-01-03 03:00:00,5.63,5.60962867737,0.088037788868,0.00316302012652,102482.03125,275.600708008,5.61031946953,269.1
2011-01-03 04:00:00,7.8,5.86137485504,0.459468662739,0.00330420094542,102428.375,274.991363525,5.87935597182,265.517
2011-01-03 05:00:00,8.88,6.12743377686,0.836571931839,0.0033995595295,102376.898438,274.60824585,6.18427823492,262.225
2011-01-03 06:00:00,9.03,6.53134155273,1.30433487892,0.00347015541047,102326.445312,274.596069336,6.66030869816,258.706
2011-01-03 07:00:00,7.78,6.98886585236,1.74869716167,0.00354919442907,102272.53125,274.619903564,7.2043172935,255.952
2011-01-03 08:00:00,6.38,7.44490337372,2.19078230858,0.00364408944733,102220.15625,274.571777344,7.76054852234,253.602
2011-01-03 09:00:00,8.72,7.70273303986,2.72411584854,0.00372399576008,102175.484375,274.699005127,8.17024500487,250.523
